StationUniqueId,Name,FareZones,PlatformUniqueId,Line,DirectionTowards,MinGap,MaxGap,AverageGap,MinStep,MaxStep,AverageStep,DesignatedLevelAccessPoint,LevelAccessByManualRamp,AdditionalAccessibilityInformation
HUBABW,Abbey Wood,4,HUBABW-Plat01-WB-national-rail,national-rail,,,,,,,,False,True,
HUBABW,Abbey Wood,4,HUBABW-Plat02-EB-national-rail,national-rail,,,,,,,,False,True,
HUBABW,Abbey Wood,4,HUBABW-Plat03-WB-elizabeth,elizabeth,,,,,,,,False,True,
HUBABW,Abbey Wood,4,HUBABW-Plat04-WB-elizabeth,elizabeth,,,,,,,,False,True,
910GACTNCTL,Acton Central,3,910GACTNCTL-Plat01-WB-london-overground,mildmay,Richmond,,,,,,,False,True,Step-free platform interchange requires a 50m journey via street. Use East Churchfield Road entrance for westbound and Churchfield Road for eastbound
910GACTNCTL,Acton Central,3,910GACTNCTL-Plat02-EB-london-overground,mildmay,Stratford,,,,,,,False,True,
910GACTONML,Acton Main Line,3,910GACTONML-Plat03-WB-elizabeth,elizabeth,,,,,,,,False,True,
910GACTONML,Acton Main Line,3,910GACTONML-Plat04-EB-elizabeth,elizabeth,,,,,,,,False,True,
910GANERLEY,Anerley,4,910GANERLEY-Plat01-NB-london-overground|national-rail,windrush,Dalston Junction,,,,,,,False,True,
910GANERLEY,Anerley,4,910GANERLEY-Plat01-NB-london-overground|national-rail,national-rail,,,,,,,,False,False,
910GANERLEY,Anerley,4,910GANERLEY-Plat02-SB-london-overground|national-rail,windrush,West Croydon,,,,,,,False,True,
910GANERLEY,Anerley,4,910GANERLEY-Plat02-SB-london-overground|national-rail,national-rail,,,,,,,,False,False,
910GBCKNHMH,Beckenham Hill,4,910GBCKNHMH-Plat01-NB-national-rail,national-rail,,,,,,,,False,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GBCKNHMH,Beckenham Hill,4,910GBCKNHMH-Plat02-SB-national-rail,national-rail,,,,,,,,False,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GBELNGHM,Bellingham,3,910GBELNGHM-Plat01-NB-national-rail,national-rail,,,,,,,,False,False,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GBELNGHM,Bellingham,3,910GBELNGHM-Plat02-SB-national-rail,national-rail,,,,,,,,False,False,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GBHILLPK,Bush Hill Park,5,910GBHILLPK-Plat01-SB-london-overground,weaver,,,,,,,,False,True,Use the St Mark's Road entrance for southbound platform. Step-free platform interchange requires a 290m journey via street
910GBHILLPK,Bush Hill Park,5,910GBHILLPK-Plat02-NB-london-overground,weaver,,,,,,,,False,True,Use the Queen Anne's Place entrance for northbound platform. Step-free platform interchange requires a 290m journey via street
910GBICKLEY,Bickley,5,910GBICKLEY-Plat01-NB-national-rail,national-rail,,,,,,,,False,False,
910GBICKLEY,Bickley,5,910GBICKLEY-Plat02-SB-national-rail,national-rail,,,,,,,,False,False,
910GBICKLEY,Bickley,5,910GBICKLEY-Plat03-NB-national-rail,national-rail,,,,,,,,False,False,
910GBICKLEY,Bickley,5,910GBICKLEY-Plat04-SB-national-rail,national-rail,,,,,,,,False,False,
910GBNHAM,Burnham,Outside,910GBNHAM-Plat01-WB-elizabeth|national-rail,elizabeth,Reading,,,,,,,False,True,
910GBNHAM,Burnham,Outside,910GBNHAM-Plat01-WB-elizabeth|national-rail,national-rail,,,,,,,,False,True,
910GBNHAM,Burnham,Outside,910GBNHAM-Plat02-EB-elizabeth|national-rail,elizabeth,Paddington Station,,,,,,,False,True,
910GBNHAM,Burnham,Outside,910GBNHAM-Plat02-EB-elizabeth|national-rail,national-rail,,,,,,,,False,True,
910GBRBYPK,Brondesbury Park,2,910GBRBYPK-Plat01-WB-london-overground,mildmay,,,,,,,,False,False,
910GBRBYPK,Brondesbury Park,2,910GBRBYPK-Plat02-EB-london-overground,mildmay,,,,,,,,False,False,
910GBRBY,Brondesbury,2,910GBRBY-Plat01-WB-london-overground,mildmay,,,,,,,,False,False,
910GBRBY,Brondesbury,2,910GBRBY-Plat02-EB-london-overground,mildmay,,,,,,,,False,False,
910GBRENTX,Brent Cross West Station,3,910GBRENTX-Plat01-SB-national-rail,national-rail,,,,,,,,False,True,
910GBRENTX,Brent Cross West Station,3,910GBRENTX-Plat02-NB-national-rail,national-rail,,,,,,,,False,True,
910GBRENTX,Brent Cross West Station,3,910GBRENTX-Plat03-SB-national-rail,national-rail,,,,,,,,False,True,
910GBRENTX,Brent Cross West Station,3,910GBRENTX-Plat04-NB-national-rail,national-rail,,,,,,,,False,True,
910GBROCKLY,Brockley,2,910GBROCKLY-Plat01-NB-london-overground|national-rail,windrush,Dalston Junction and Highbury & Islington,,,,,,,False,True,Step-free platform interchange requires a 500m journey via street
910GBROCKLY,Brockley,2,910GBROCKLY-Plat01-NB-london-overground|national-rail,national-rail,,,,,,,,False,True,Step-free platform interchange requires a 500m journey via street
910GBROCKLY,Brockley,2,910GBROCKLY-Plat02-SB-london-overground|national-rail,windrush,Crystal Palace and West Croydon,,,,,,,False,True,Step-free platform interchange requires a 500m journey via street
910GBROCKLY,Brockley,2,910GBROCKLY-Plat02-SB-london-overground|national-rail,national-rail,,,,,,,,False,True,Step-free platform interchange requires a 500m journey via street
910GBROMLYS,Bromley South,5,910GBROMLYS-Plat01-NB-national-rail,national-rail,,,,,,,,False,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GBROMLYS,Bromley South,5,910GBROMLYS-Plat02-SB-national-rail,national-rail,,,,,,,,False,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GBROMLYS,Bromley South,5,910GBROMLYS-Plat03-NB-national-rail,national-rail,,,,,,,,False,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GBROMLYS,Bromley South,5,910GBROMLYS-Plat04-SB-national-rail,national-rail,,,,,,,,False,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GBRTWOOD,Brentwood,9,910GBRTWOOD-Plat01-WB-elizabeth,elizabeth,Stratford,,,,,,,False,True,
910GBRTWOOD,Brentwood,9,910GBRTWOOD-Plat02-EB-elizabeth,elizabeth,Shenfield,,,,,,,False,True,
910GBRTWOOD,Brentwood,9,910GBRTWOOD-Plat03-WB-elizabeth,elizabeth,Stratford,,,,,,,False,True,
910GBRTWOOD,Brentwood,9,910GBRTWOOD-Plat04-EB-elizabeth,elizabeth,Shenfield,,,,,,,False,True,
910GBRUCGRV,Bruce Grove,3,910GBRUCGRV-Plat01-SB-london-overground,weaver,,,,,,,,False,False,
910GBRUCGRV,Bruce Grove,3,910GBRUCGRV-Plat02-NB-london-overground,weaver,,,,,,,,False,False,
910GBTHNLGR,Bethnal Green,2,910GBTHNLGR-Plat01-WB-london-overground,weaver,,,,,,,,False,False,
910GBTHNLGR,Bethnal Green,2,910GBTHNLGR-Plat02-EB-london-overground,weaver,,,,,,,,False,False,
910GCAMHTH,Cambridge Heath,2,910GCAMHTH-Plat01-SB-london-overground,weaver,,,,,,,,False,False,
910GCAMHTH,Cambridge Heath,2,910GCAMHTH-Plat02-NB-london-overground,weaver,,,,,,,,False,False,
910GCATFORD,Catford,3,910GCATFORD-Plat01-NB-national-rail,national-rail,,,,,,,,False,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GCATFORD,Catford,3,910GCATFORD-Plat02-SB-national-rail,national-rail,,,,,,,,False,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GCFPK,Crofton Park,3,910GCFPK-Plat01-NB-national-rail,national-rail,,,,,,,,False,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GCFPK,Crofton Park,3,910GCFPK-Plat02-SB-national-rail,national-rail,,,,,,,,False,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GCHDWLHT,Chadwell Heath,5,910GCHDWLHT-Plat01-WB-elizabeth,elizabeth,Liverpool Street,,,,,,,False,True,
910GCHDWLHT,Chadwell Heath,5,910GCHDWLHT-Plat02-EB-elizabeth,elizabeth,Shenfield,,,,,,,False,True,
910GCHDWLHT,Chadwell Heath,5,910GCHDWLHT-Plat03-WB-elizabeth,elizabeth,Liverpool Street,,,,,,,False,True,
910GCHDWLHT,Chadwell Heath,5,910GCHDWLHT-Plat04-EB-elizabeth,elizabeth,Shenfield,,,,,,,False,True,
910GCHESHNT,Cheshunt,8,910GCHESHNT-Plat01-SB-national-rail,national-rail,,,,,,,,False,True,Step-free platform interchange to/from Platform 1 requires a 70m journey by street
910GCHESHNT,Cheshunt,8,910GCHESHNT-Plat02-NB-national-rail,national-rail,,,,,,,,False,True,Step-free platform interchange to/from Platform 1 requires a 70m journey by street
910GCHESHNT,Cheshunt,8,910GCHESHNT-Plat03-SB-london-overground,weaver,Edmonton Green,,,,,,,False,True,Step-free platform interchange to/from Platform 1 requires a 70m journey by street
910GCHINGFD,Chingford,5,910GCHINGFD-Plat01-SB-london-overground,weaver,Liverpool Street,,,,,,,False,True,
910GCHINGFD,Chingford,5,910GCHINGFD-Plat02-SB-london-overground,weaver,Liverpool Street,,,,,,,False,True,
910GCHINGFD,Chingford,5,910GCHINGFD-Plat03-SB-london-overground,weaver,Liverpool Street,,,,,,,False,True,
910GCLAPTON,Clapton,2|3,910GCLAPTON-Plat01-SB-london-overground,weaver,,,,,,,,False,False,
910GCLAPTON,Clapton,2|3,910GCLAPTON-Plat02-NB-london-overground,weaver,,,,,,,,False,False,
910GCLDNNRB,Caledonian Road & Barnsbury,2,910GCLDNNRB-Plat02-WB-london-overground,mildmay,Richmond and Clapham Junction,,,,,,,False,True,
910GCLDNNRB,Caledonian Road & Barnsbury,2,910GCLDNNRB-Plat03-EB-london-overground,mildmay,Stratford,,,,,,,False,True,
910GCLPHHS,Clapham High Street,2,910GCLPHHS-Plat01-WB-london-overground,windrush,,,,,,,,False,False,
910GCLPHHS,Clapham High Street,2,910GCLPHHS-Plat02-EB-london-overground,windrush,,,,,,,,False,False,
910GCMDNRD,Camden Road,2,910GCMDNRD-Plat01-WB-london-overground,mildmay,Richmond and Clapham Junction,,,,,,,False,True,
910GCMDNRD,Camden Road,2,910GCMDNRD-Plat02-EB-london-overground,mildmay,Stratford,,,,,,,False,True,
910GCNNB,Canonbury,2,910GCNNB-Plat01-NB-london-overground,windrush,Highbury & Islington,0.0,85.0,,0.0,50.0,,True,False,
910GCNNB,Canonbury,2,910GCNNB-Plat02-SB-london-overground,windrush,Crystal Palace and Clapham Junction via Canada Water,0.0,85.0,,0.0,50.0,,True,False,
910GCNNB,Canonbury,2,910GCNNB-Plat03-WB-london-overground,mildmay,Richmond and Clapham Junction via Willesden Junction,,,,,,,False,True,
910GCNNB,Canonbury,2,910GCNNB-Plat04-EB-london-overground,mildmay,Stratford,,,,,,,False,True,
910GCOLSDNS,Coulsdon South,6,910GCOLSDNS-Plat01-NB-national-rail,national-rail,,,,,,,,False,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GCOLSDNS,Coulsdon South,6,910GCOLSDNS-Plat02-SB-national-rail,national-rail,,,,,,,,False,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GCRKLWD,Cricklewood,3,910GCRKLWD-Plat01-SB-national-rail,national-rail,,,,,,,,False,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GCRKLWD,Cricklewood,3,910GCRKLWD-Plat02-NB-national-rail,national-rail,,,,,,,,False,False,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GCRKLWD,Cricklewood,3,910GCRKLWD-Plat03-SB-national-rail,national-rail,,,,,,,,False,False,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GCRKLWD,Cricklewood,3,910GCRKLWD-Plat04-NB-national-rail,national-rail,,,,,,,,False,False,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GCRLN,Charlton,3,910GCRLN-Plat01-WB-national-rail,national-rail,,,,,,,,False,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GCRLN,Charlton,3,910GCRLN-Plat02-EB-national-rail,national-rail,,,,,,,,False,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GCROUCHH,Crouch Hill,3,910GCROUCHH-Plat01-WB-london-overground,suffragette,,,,,,,,False,False,
910GCROUCHH,Crouch Hill,3,910GCROUCHH-Plat02-EB-london-overground,suffragette,,,,,,,,False,False,
910GCRPNDPK,Carpenders Park,7,910GCRPNDPK-Plat01-SB-london-overground,lioness,Euston,,,,,,,False,True,
910GCRPNDPK,Carpenders Park,7,910GCRPNDPK-Plat02-NB-london-overground,lioness,Watford Junction,,,,,,,False,True,
910GCRSHLTN,Carshalton,5,910GCRSHLTN-Plat01-EB-national-rail,national-rail,,,,,,,,False,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GCRSHLTN,Carshalton,5,910GCRSHLTN-Plat02-WB-national-rail,national-rail,,,,,,,,False,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GCTMSLNK,City Thameslink,1,910GCTMSLNK-Plat01-NB-national-rail,national-rail,,0.0,85.0,,0.0,50.0,,True,False,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GCTMSLNK,City Thameslink,1,910GCTMSLNK-Plat02-SB-national-rail,national-rail,,0.0,85.0,,0.0,50.0,,True,False,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GDALSKLD,Dalston Kingsland,2,910GDALSKLD-Plat01-WB-london-overground,mildmay,,,,,,,,False,False,
910GDALSKLD,Dalston Kingsland,2,910GDALSKLD-Plat02-EB-london-overground,mildmay,,,,,,,,False,False,
910GDALS,Dalston Junction,2,910GDALS-Plat01-NB-london-overground,windrush,Highbury & Islington,0.0,85.0,,0.0,50.0,,True,False,
