UniqueId,Name,FareZones,PrimaryZone,LinesServed,Wifi,BlueBadgeCarParking,BlueBadgeCarParkSpaces,TaxiRanksOutsideStation,MainBusInterchange,NationalRailInterchange,AirportInterchange,TotalLifts,LimitedCapacityLifts,TotalPlatforms,PlatformsWithStepFree,StepFreePlatformPct,TotalToilets,AccessibleToilets,FreeToilets,HasBabyChanging,TotalPlatformSvc,LevelAccessPlatforms,RampAccessPlatforms,LevelAccessPct,RampRouteCount,StepFreeInterchangeCount,AvgInterchangeDistM,MaxInterchangeDistM,HasLift,HasAccessibleToilet,HasRamp,AccessibilityScore,AccessibilityBand,Lat,Lon
HUBABW,Abbey Wood,4,4,"elizabeth, national-rail",False,False,,False,False,False,False,6,0,4,4,1.0,3,1,3,False,4,0,4,0.0,0,0,,,1,1,0,75.0,Good (70-100),51.49130881818182,0.12123390909090909
910GACTNCTL,Acton Central,3,3,mildmay,True,False,,False,False,False,False,0,0,2,2,1.0,0,0,0,,2,0,2,0.0,0,0,,,0,0,0,25.0,Poor (0-39),51.50836742857143,-0.2631112857142857
910GACTONML,Acton Main Line,3,3,elizabeth,False,False,,False,False,False,False,2,0,2,2,1.0,1,1,1,False,2,0,2,0.0,0,0,,,1,1,0,75.0,Good (70-100),51.51707066666666,-0.26787500000000003
910GANERLEY,Anerley,4,4,"national-rail, windrush",True,False,,False,False,False,False,0,0,2,2,1.0,0,0,0,,4,0,2,0.0,0,0,,,0,0,0,25.0,Poor (0-39),51.41237885714286,-0.06558242857142857
910GBCKNHMH,Beckenham Hill,4,4,national-rail,False,False,,False,False,False,False,0,0,2,0,0.0,0,0,0,,2,0,2,0.0,0,0,,,0,0,0,0.0,Poor (0-39),51.42456571428572,-0.016046285714285714
910GBELNGHM,Bellingham,3,3,national-rail,False,False,,False,False,False,False,0,0,2,0,0.0,0,0,0,,2,0,0,0.0,0,0,,,0,0,0,0.0,Poor (0-39),51.433092599999995,-0.019628
910GBHILLPK,Bush Hill Park,5,5,weaver,True,True,2.0,False,False,False,False,0,0,2,2,1.0,3,1,3,True,2,0,2,0.0,0,0,,,0,1,0,45.0,Partial (40-69),51.64155685714286,-0.069234
910GBICKLEY,Bickley,5,5,national-rail,False,False,,False,False,False,False,0,0,4,0,0.0,0,0,0,,4,0,0,0.0,0,0,,,0,0,0,0.0,Poor (0-39),51.3998922,0.0453258
910GBNHAM,Burnham,Outside,Unknown,"elizabeth, national-rail",False,False,,False,False,False,False,1,0,2,2,1.0,3,1,3,True,4,0,4,0.0,0,0,,,1,1,0,75.0,Good (70-100),51.5233945,-0.6462498333333334
910GBRBY,Brondesbury,2,2,mildmay,True,False,,False,False,False,False,0,0,2,2,1.0,0,0,0,,2,0,0,0.0,0,0,,,0,0,0,25.0,Poor (0-39),51.545188800000005,-0.2022932
