StationUniqueId,Name,FareZones,Id,Type,IsAccessible,HasBabyChanging,IsInsideGateLine,Location,IsFeeCharged,IsManagedByTfL,RadarKey,OpensWithStation,ClosesWithStation
910GACTONML,Acton Main Line,3,1,Unisex,True,False,True,Located in ticket hall,False,True,,,
910GBHILLPK,Bush Hill Park,5,1,Male,False,False,True,,False,True,,,
910GBHILLPK,Bush Hill Park,5,2,Female,False,False,True,,False,True,,,
910GBHILLPK,Bush Hill Park,5,3,Unisex,True,True,True,,False,True,,,
910GBNHAM,Burnham,Outside,1,Male,False,False,True,Located on platform 2,False,True,,,
910GBNHAM,Burnham,Outside,2,Female,False,False,True,Located on platform 2,False,True,,,
910GBNHAM,Burnham,Outside,3,Unisex,True,True,True,Located on platform 2,False,True,,,
910GBRTWOOD,Brentwood,9,1,Male,False,False,True,"Located on platforms 2,3,4",False,True,,,
910GBRTWOOD,Brentwood,9,2,Female,False,True,True,"Located on platforms 2,3,4",False,True,,,
910GBRTWOOD,Brentwood,9,3,Unisex,True,False,True,"Located on platforms 2,3,4",False,True,,,
910GCHDWLHT,Chadwell Heath,5,1,Unisex,True,False,True,Located in ticket hall,False,True,,,
910GCHESHNT,Cheshunt,8,1,Male,False,False,False,Located in ticket hall,False,False,,,
910GCHESHNT,Cheshunt,8,2,Female,False,False,False,Located in ticket hall,False,False,,,
910GCHESHNT,Cheshunt,8,3,Unisex,True,False,False,Located in ticket hall,False,False,,,
910GCHINGFD,Chingford,5,1,Male,False,False,True,,False,True,,,
910GCHINGFD,Chingford,5,2,Female,False,False,True,,False,True,,,
910GCHINGFD,Chingford,5,3,Unisex,True,True,True,,False,True,,,
910GDALS,Dalston Junction,2,1,Unisex,True,False,True,,False,True,,,
910GDENMRKH,Denmark Hill,2,1,Unisex,True,False,True,Located behind ticket office,False,False,,,
910GENFLDTN,Enfield Town,5,1,Male,False,False,True,,False,True,,,
910GENFLDTN,Enfield Town,5,2,Female,False,False,True,,False,True,,,
910GENFLDTN,Enfield Town,5,3,Unisex,True,True,True,,False,True,,,
910GFRSTGT,Forest Gate,3,1,Unisex,True,False,False,Located in ticket hall,False,True,,,
910GGIDEAPK,Gidea Park,6,1,Male,False,False,True,Located on platforms 3 & 4,False,True,,,
910GGIDEAPK,Gidea Park,6,2,Female,False,False,True,Located on platforms 3 & 4,False,True,,,
910GGIDEAPK,Gidea Park,6,3,Unisex,True,False,True,Located on platforms 3 & 4,False,True,,,
910GGODMAYS,Goodmayes,4,1,Unisex,True,False,False,Located in ticket hall,False,True,,,
910GGOSPLOK,Gospel Oak,2,1,Male,False,False,True,,False,True,,,
910GGOSPLOK,Gospel Oak,2,2,Female,False,False,True,,False,True,,,
910GGOSPLOK,Gospel Oak,2,3,Unisex,True,True,True,,False,True,,,
910GHAGGERS,Haggerston,2,1,Unisex,True,False,True,,False,True,,,
910GHANWELL,Hanwell,4,1,Unisex,True,False,True,Located on platform 3,False,True,,,
910GHAYESAH,Hayes & Harlington,5,1,Unisex,True,False,True,Located on platform 4,False,True,,,
